,name_en,name_fa,city_id,price_class
567,dreamlandclub,دریم لند,16,2
568,tehran_tehran1,طهران تهران,16,2
569,elmaso,ال ماسو,16,2
570,kheshte_behesht,خشت بهشت,16,2
571,tarikh,تاریخ,16,2
572,unis,یونیس,16,2
573,sayda_shahran,سایدا,16,2
574,sweetbar_ir,سوییت بار,16,2
575,radiocity_lounge,رادیو سیتی,16,2
576,la_maison_du,مزون,16,2
577,bellobistro,بلو بیسترو,16,2
578,cafe40,چهل,16,2
579,cynthia,سینتیا,16,2
580,eliasaam,الیاسام,16,2
581,rackan,راکان,16,2
582,koli_cafe,کولی,16,2
583,pagani,پاگانی,16,2
584,leevan_zoghalchi,لی وان زغالچی,16,2
585,dandehshisha,دنده شیشا,16,2
586,caffenoon,نون,16,2
587,terasideh,تراس ایده,16,2
588,restaurantyasmina,یاسمینا,16,2
589,sky_lounge,اسکای لانژ,16,2
590,lertcafe,هاوس لرت,16,2
591,arnoosh_home,عمارت آرنوش,16,2
592,24saadatabad,بیست و چهار,16,2
593,miraarthouse,خانه میرا,16,2
594,corleone,کورلئونه,16,2
595,danteh_marzdaran,دانته (مرزداران),16,2
596,yar_mansion,عمارت یار,16,2
597,fermo,فرمو,16,2
598,shaparak_jomhori,شاپرک (جمهوری),16,2
599,spinach,اسپیناچ,16,2
600,samaaflak,سماع افلاک,16,2
601,dorche_opal,درچه,16,2
602,pirashki_khosravi,پیراشکی خسروی,16,2
603,rahas,رهاس,16,2
604,ivancafe,ایوان (لاله زار),16,2
605,tierra,تی یرا,16,2
606,yaserkhan,یاسرخان,16,2
607,sora_shahrerey,سرا (شهرری),16,2
608,cafefarvahar,فروهر,16,2
609,pooli,پولی,16,2
610,feloreh,فلوره,16,2
611,manza,مان زا,16,2
612,vip_kazemi,وی آی پی کاظمی,16,2
613,cafebeniz,بنیز,16,2
614,angeram,انگرام,16,2
615,marool,مارول,16,2
616,nuck,ناک,16,2
617,nara,نارا,16,2
618,cluna_firoze,کلانا (فیروزه),16,2
619,chiakoo_pasadaran,چیاکو (پاسداران),16,2
620,delsa_pasadaran,دلسا (پاسداران),16,1
621,lena_tehranpars,لنا (تهرانپارس),16,2
622,viuna_rosha,ویونا (روشا اکسپرس),16,2
623,kaarizno,کاریزنو,16,2
624,nikou,نیکو,16,2
625,aroma_shahrakgolestan,آروما (شهرک گلستان),16,2
626,babel,بابل,16,2
627,hoorfamily,هور خانه فرهنگ و غذا,16,2
628,boncoffee,بن کافی,16,2
629,niwayard,حیاط نیوا,16,2
630,dafaraz,دفراز,16,2
631,narvan_enghelab,نارون (انقلاب),16,2
632,chekad,چکاد,16,2
633,doppio,دوپیو,16,2
634,karkhane,کارخانه,16,2
635,cafe_rosamond,رزاموند,16,2
636,hero_come,هیرو کام,16,2
637,de_france,دو فرانس,16,2
638,cafe_florence,فلورانس,16,2
639,jahroumi,جهرمی,16,2
640,narin_tehranpars,نارین (تهرانپارس),16,2
641,hoorsun_bistro,هورسان بیسترو,16,2
