,id,Name,Perfect,Good,Ok,Bad,Very Bad
1177,1213,coffeelime,1,1,4,1,1
1178,1214,coffeesolehvanak,0,1,0,0,0
1179,1215,amirshokolatfarmanieh,3,4,4,2,1
1180,1216,b133,51,31,7,2,2
1181,1217,b30,0,1,0,0,0
1182,1218,b130,0,2,0,0,2
1183,1219,b36,0,1,0,0,0
1184,1220,b65,0,2,0,0,1
1185,1221,b6,0,0,0,0,0
1186,1222,spidgah,6,1,2,2,2
1187,1223,loupato,18,15,11,7,5
1188,1224,b19,1,0,1,0,0
1189,1225,paeez98shahrara,6,1,2,1,1
1190,1226,b60,8,14,4,0,1
1191,1227,b34,0,1,2,1,0
1192,1228,saghdoosh,1,2,0,0,0
1193,1229,first_cup_cafe,0,1,4,1,0
1194,1230,b109,0,0,0,0,0
1195,1231,spu,98,63,32,26,20
1196,1232,b21,3,1,1,0,0
1197,1233,selin,0,3,5,1,0
1198,1234,b23,0,1,0,0,0
1199,1235,pesto,2,7,2,0,0
1200,1236,pop,1,3,3,0,0
1201,1237,lamizvaliasr,60,40,20,6,8
1202,1238,icafe,7,4,1,0,1
